word,count_Q51,Predicted sentiment_Q51,Probability_Q51,count_Q40,Predicted sentiment_Q40,Probability_Q40
.,61,Negative,0.51,41,Negative,0.51
the,49,Negative,0.51,16,Negative,0.51
students,41,Negative,0.51,19,Negative,0.51
to,40,Negative,0.51,27,Negative,0.51
of,35,Negative,0.51,17,Negative,0.51
i,31,Negative,0.51,1,Negative,0.51
and,31,Negative,0.51,26,Negative,0.51
",",29,Negative,0.51,12,Negative,0.51
in,23,Negative,0.51,18,Negative,0.51
a,22,Negative,0.51,13,Negative,0.51
classroom,19,Negative,0.51,21,Negative,0.51
for,18,Negative,0.51,8,Negative,0.51
with,18,Negative,0.51,23,Negative,0.51
have,18,Negative,0.51,6,Negative,0.51
all,14,Negative,0.51,4,Negative,0.51
are,12,Negative,0.51,2,Negative,0.51
that,12,Negative,0.51,4,Negative,0.51
student,12,Negative,0.5,7,Negative,0.5
them,12,Negative,0.51,1,Negative,0.51
behaviors,12,Negative,0.51,7,Negative,0.51
not,11,Negative,0.51,3,Negative,0.51
management,11,Positive,0.83,21,Positive,0.83
behavior,11,Negative,0.51,7,Negative,0.51
difficult,10,Negative,0.5,6,Negative,0.5
needs,9,Negative,0.75,4,Negative,0.75
time,9,Negative,0.54,2,Negative,0.54
their,8,Negative,0.51,3,Negative,0.51
was,8,Negative,0.51,4,Negative,0.51
has,8,Negative,0.51,4,Negative,0.51
is,8,Negative,0.51,4,Negative,0.51
who,7,Negative,0.51,4,Negative,0.51
do,7,Negative,0.51,2,Negative,0.51
year,7,Negative,0.58,1,Negative,0.58
n't,7,Negative,0.51,3,Negative,0.51
challenge,7,Negative,0.51,1,Negative,0.51
support,7,Positive,0.56,4,Positive,0.56
but,6,Negative,0.51,6,Negative,0.51
on,6,Negative,0.51,1,Negative,0.51
class,6,Negative,0.61,8,Negative,0.61
been,6,Negative,0.51,2,Negative,0.51
hard,6,Negative,0.74,2,Negative,0.74
it,6,Negative,0.51,6,Negative,0.51
had,5,Negative,0.51,5,Negative,0.51
parents,5,Negative,0.83,3,Negative,0.83
most,5,Negative,0.51,2,Negative,0.51
learning,5,Negative,0.51,8,Negative,0.51
this,5,Negative,0.51,5,Negative,0.51
so,5,Negative,0.51,3,Negative,0.51
they,5,Negative,0.51,1,Negative,0.51
work,4,Negative,0.57,2,Negative,0.57
planning,4,Positive,0.83,1,Positive,0.83
as,4,Negative,0.51,1,Negative,0.51
covid,4,Negative,0.51,2,Negative,0.51
extremely,4,Negative,0.7,1,Negative,0.7
dealing,4,Negative,0.51,4,Negative,0.51
instruction,4,Positive,0.75,7,Positive,0.75
what,4,Negative,0.51,3,Negative,0.51
how,3,Negative,0.51,4,Negative,0.51
prepared,3,Negative,0.75,1,Negative,0.75
think,3,Negative,0.56,1,Negative,0.56
faced,3,Negative,0.51,1,Negative,0.51
biggest,3,Negative,0.51,1,Negative,0.51
lack,3,Positive,0.79,2,Positive,0.79
