word,count,Predicted sentiment,Probability
.,61,Positive,0.5
the,49,Positive,0.5
students,41,Positive,0.5
to,40,Positive,0.5
of,35,Positive,0.5
i,31,Positive,0.5
and,31,Positive,0.5
",",29,Positive,0.5
in,23,Positive,0.5
a,22,Positive,0.5
classroom,19,Positive,0.5
for,18,Positive,0.5
with,18,Positive,0.5
have,18,Positive,0.5
my,17,Positive,0.5
all,14,Positive,0.5
are,12,Positive,0.5
that,12,Positive,0.5
student,12,Positive,0.56
them,12,Positive,0.5
behaviors,12,Positive,0.5
not,11,Positive,0.5
management,11,Positive,0.83
behavior,11,Positive,0.5
difficult,10,Negative,0.83
needs,9,Positive,0.5
time,9,Negative,0.57
when,9,Positive,0.5
their,8,Positive,0.5
was,8,Positive,0.5
has,8,Positive,0.5
'',8,Positive,0.5
is,8,Positive,0.5
who,7,Positive,0.5
do,7,Positive,0.5
year,7,Positive,0.52
from,7,Positive,0.5
n't,7,Positive,0.5
challenge,7,Positive,0.5
support,7,Positive,0.62
but,6,Positive,0.5
on,6,Positive,0.5
class,6,Positive,0.55
been,6,Positive,0.5
hard,6,Negative,0.79
level,6,Negative,0.7
it,6,Positive,0.5
at,5,Positive,0.5
had,5,Positive,0.5
parents,5,Negative,0.83
most,5,Positive,0.5
meet,5,Negative,0.56
learning,5,Positive,0.75
this,5,Positive,0.5
or,5,Positive,0.5
so,5,Positive,0.5
they,5,Positive,0.5
work,4,Negative,0.52
making,4,Positive,0.5
planning,4,Positive,0.92
many,4,Positive,0.51
resources,4,Positive,0.5
as,4,Positive,0.5
``,4,Positive,0.5
covid,4,Positive,0.5
there,4,Positive,0.5
extremely,4,Negative,0.83
dealing,4,Positive,0.5
instruction,4,Positive,0.75
what,4,Positive,0.5
iep,3,Positive,0.5
out,3,Positive,0.5
how,3,Positive,0.5
sure,3,Positive,0.64
prepared,3,Positive,0.5
me,3,Positive,0.5
etc,3,Positive,0.5
balancing,3,Positive,0.5
think,3,Negative,0.52
faced,3,Positive,0.5
biggest,3,Positive,0.5
lack,3,Positive,0.75
teacher,3,Negative,0.83
curriculum,3,Positive,0.5
am,3,Positive,0.5
up,3,Positive,0.5
go,3,Negative,0.62
due,3,Negative,0.73
being,3,Positive,0.5
low,3,Negative,0.58
different,3,Positive,0.5
keep,3,Positive,0.65
some,3,Positive,0.5
lower,3,Positive,0.75
gifted,3,Positive,0.75
handling,3,Positive,0.5
which,3,Positive,0.5
extreme,3,Positive,0.75
school,3,Negative,0.68
lot,3,Positive,0.73
having,3,Positive,0.5
variety,3,Positive,0.5
able,3,Negative,0.72
trying,3,Negative,0.75
getting,3,Positive,0.61
admin,3,Positive,0.83
an,2,Positive,0.5
complete,2,Negative,0.56
strategies,2,Positive,0.5
problem,2,Positive,0.74
solving,2,Positive,0.5
teach,2,Positive,0.75
both,2,Positive,0.5
same,2,Positive,0.5
lessons,2,Positive,0.5
like,2,Positive,0.52
while,2,Positive,0.5
severe,2,Positive,0.75
does,2,Positive,0.5
actions,2,Positive,0.5
needing,2,Positive,0.5
did,2,Positive,0.5
sometimes,2,Negative,0.53
best,2,Positive,0.76
after,2,Positive,0.5
behavioral,2,Positive,0.5
problems,2,Positive,0.5
grade,2,Positive,0.7
disruptive,2,Positive,0.5
because,2,Positive,0.5
want,2,Negative,0.72
be,2,Positive,0.5
poor,2,Negative,0.92
handful,2,Positive,0.5
very,2,Positive,0.5
social,2,Positive,0.7
emotional,2,Negative,0.7
's,2,Positive,0.5
supportive,2,Positive,0.5
providing,2,Positive,0.5
discipline,2,Negative,0.83
differentiating,2,Positive,0.5
higher,2,Positive,0.5
life,2,Positive,0.59
where,2,Positive,0.5
issues,2,Positive,0.5
needed,2,Positive,0.88
could,2,Negative,0.65
wide,2,Negative,0.83
(,2,Positive,0.5
),2,Positive,0.5
help,2,Negative,0.56
task,2,Positive,0.5
growth,2,Positive,0.5
data,2,Negative,0.83
behind,2,Positive,0.5
other,2,Positive,0.5
such,2,Positive,0.5
one,2,Negative,0.53
cooperation,2,Positive,0.5
consequences,2,Positive,0.5
part,2,Positive,0.57
material,2,Positive,0.5
topic,2,Positive,0.5
keeping,2,Positive,0.5
meeting,1,Positive,0.61
yet,1,Negative,0.7
qualify,1,Negative,0.75
unable,1,Negative,0.83
own,1,Positive,0.5
room,1,Negative,0.68
implement,1,Positive,0.5
interventions,1,Positive,0.5
discussed,1,Positive,0.5
team,1,Positive,0.68
figuring,1,Positive,0.5
ell,1,Positive,0.5
regular,1,Positive,0.63
e.d,1,Positive,0.5
everyone,1,Positive,0.73
understands,1,Positive,0.5
much,1,Negative,0.6
you,1,Positive,0.5
get,1,Negative,0.51
felt,1,Negative,0.79
general,1,Positive,0.5
tipping,1,Positive,0.5
desks,1,Positive,0.5
over,1,Positive,0.5
onto,1,Positive,0.5
biting,1,Positive,0.5
themselves,1,Positive,0.5
worked,1,Positive,0.5
guidance,1,Positive,0.5
councilors,1,Positive,0.5
teams,1,Positive,0.5
principals,1,Positive,0.5
always,1,Positive,0.56
mean,1,Negative,0.68
improve,1,Positive,0.83
preventative,1,Positive,0.5
and/or,1,Positive,0.5
deescalating,1,Positive,0.5
order,1,Positive,0.5
difficulties,1,Positive,0.5
took,1,Positive,0.5
away,1,Negative,0.7
rest,1,Negative,0.57
focus,1,Positive,0.75
small,1,Negative,0.68
groups,1,Positive,0.5
daily,1,Negative,0.7
deal,1,Negative,0.58
working,1,Negative,0.75
seem,1,Negative,0.58
care,1,Negative,0.6
children,1,Positive,0.5
;,1,Positive,0.5
unfortunately,1,Negative,0.92
previous,1,Negative,0.83
written,1,Positive,0.5
updated,1,Positive,0.5
use,1,Negative,0.54
things,1,Negative,0.83
cause,1,Positive,0.54
experience,1,Positive,0.75
possible,1,Positive,0.75
range,1,Positive,0.83
educational,1,Positive,0.5
normal,1,Positive,0.56
7th,1,Positive,0.5
confusion,1,Positive,0.5
district,1,Positive,0.5
individual,1,Positive,0.75
major,1,Positive,0.5
try,1,Negative,0.51
