word,count,Predicted sentiment,Probability
.,61,Negative,0.51
the,49,Negative,0.51
students,41,Negative,0.51
to,40,Negative,0.51
of,35,Negative,0.51
i,31,Negative,0.51
and,31,Negative,0.51
",",29,Negative,0.51
in,23,Negative,0.51
a,22,Negative,0.51
classroom,19,Negative,0.51
for,18,Negative,0.51
with,18,Negative,0.51
have,18,Negative,0.51
my,17,Negative,0.51
all,14,Negative,0.51
are,12,Negative,0.51
that,12,Negative,0.51
student,12,Negative,0.5
them,12,Negative,0.51
behaviors,12,Negative,0.51
not,11,Negative,0.51
management,11,Positive,0.83
behavior,11,Negative,0.51
difficult,10,Negative,0.5
needs,9,Negative,0.75
time,9,Negative,0.54
when,9,Negative,0.51
their,8,Negative,0.51
was,8,Negative,0.51
has,8,Negative,0.51
'',8,Negative,0.51
is,8,Negative,0.51
who,7,Negative,0.51
do,7,Negative,0.51
year,7,Negative,0.58
from,7,Negative,0.51
n't,7,Negative,0.51
challenge,7,Negative,0.51
support,7,Positive,0.56
but,6,Negative,0.51
on,6,Negative,0.51
class,6,Negative,0.61
been,6,Negative,0.51
hard,6,Negative,0.74
level,6,Negative,0.75
it,6,Negative,0.51
at,5,Negative,0.51
had,5,Negative,0.51
parents,5,Negative,0.83
most,5,Negative,0.51
meet,5,Negative,0.54
learning,5,Negative,0.51
this,5,Negative,0.51
or,5,Negative,0.51
so,5,Negative,0.51
they,5,Negative,0.51
work,4,Negative,0.57
making,4,Negative,0.75
planning,4,Positive,0.83
many,4,Positive,0.53
resources,4,Negative,0.51
as,4,Negative,0.51
``,4,Negative,0.51
covid,4,Negative,0.51
there,4,Negative,0.51
extremely,4,Negative,0.7
dealing,4,Negative,0.51
instruction,4,Positive,0.75
what,4,Negative,0.51
iep,3,Negative,0.51
out,3,Negative,0.51
how,3,Negative,0.51
sure,3,Positive,0.62
prepared,3,Negative,0.75
me,3,Negative,0.51
etc,3,Negative,0.5
balancing,3,Negative,0.51
think,3,Negative,0.56
faced,3,Negative,0.51
biggest,3,Negative,0.51
lack,3,Positive,0.79
teacher,3,Negative,0.5
curriculum,3,Negative,0.51
am,3,Negative,0.51
up,3,Negative,0.51
go,3,Negative,0.64
due,3,Negative,0.77
being,3,Negative,0.51
low,3,Negative,0.5
different,3,Negative,0.5
keep,3,Positive,0.65
some,3,Negative,0.51
lower,3,Positive,0.75
gifted,3,Positive,0.75
handling,3,Negative,0.51
which,3,Negative,0.51
extreme,3,Positive,0.75
school,3,Negative,0.74
lot,3,Positive,0.82
having,3,Negative,0.51
variety,3,Positive,0.75
able,3,Negative,0.79
trying,3,Negative,0.64
getting,3,Positive,0.56
admin,3,Positive,0.83
an,2,Negative,0.51
complete,2,Positive,0.56
strategies,2,Negative,0.51
problem,2,Positive,0.75
solving,2,Negative,0.51
teach,2,Negative,0.51
both,2,Negative,0.51
same,2,Negative,0.51
lessons,2,Negative,0.51
like,2,Positive,0.53
while,2,Negative,0.51
severe,2,Negative,0.51
does,2,Negative,0.51
actions,2,Negative,0.51
needing,2,Negative,0.51
did,2,Negative,0.51
sometimes,2,Positive,0.53
best,2,Positive,0.7
after,2,Negative,0.51
behavioral,2,Negative,0.51
problems,2,Negative,0.51
grade,2,Negative,0.5
disruptive,2,Negative,0.51
because,2,Negative,0.51
want,2,Negative,0.73
be,2,Negative,0.51
poor,2,Negative,0.9
handful,2,Negative,0.51
very,2,Negative,0.51
social,2,Positive,0.58
emotional,2,Negative,0.5
's,2,Negative,0.51
supportive,2,Negative,0.51
providing,2,Negative,0.51
discipline,2,Negative,0.75
differentiating,2,Negative,0.51
higher,2,Negative,0.51
life,2,Positive,0.55
where,2,Negative,0.51
issues,2,Negative,0.51
needed,2,Positive,0.83
could,2,Negative,0.69
wide,2,Negative,0.5
