,Essay Text,School Year,Response ID,Category,Predicted sentiment,Probability
0,Parent relationships and contact. I came into my first year not knowing how to conduct conferences or build relationships with parents. This is also due to COVID as well.,2022,39703,Parent Relationships,Positive,0.63
1,How to teach ELL and gifted students,2022,39712,Training for ELL and ED Students,Positive,0.96
2,Planning for lessons and time management.,2022,39723,Planning,Positive,0.73
3,Lesson planning for the week,2022,39725,Planning,Positive,0.94
4,I think there needs to be more instruction and practical practice on how to handle severe behaviors and to prepare teachers for what they will see in the general classroom and how to handle things like trauma and unmedicated ADHD.,2022,39740,Handling severe behavior,Positive,0.72
5,"Teacher preparation programs should strengthen modeling and teaching classroom management strategies to educate teachers on potential misbehaviors, plans to prevent them, and actions to take when the misbehaviors occur.",2022,39764,Handling severe behavior,Positive,0.87
6,Classroom management skills,2022,39800,Classroom management skills,Positive,0.94
7,I think teacher preparation programs should focus more on classroom management and ways to teach students with different learning strengths and weaknesses. Another aspect that teacher preparation programs should strengthen is communication with administration and other school officials.,2022,39809,Classroom management skills,Positive,0.97
8,How to really analyze data and what we need to do for certain students.,2022,39811,Training to analyze data,Negative,0.84
9,Student behavior and discipline. My second choice would be communicating with parents (when and how).,2022,39843,Handling severe behavior,Positive,0.55
10,different curriculums and how to use them.,2022,39849,Classroom management skills,Negative,0.57
11,Classes on students with disabilities (physical and mental). I feel like more training in that area would have enhanced my abilities in the classroom more than now. I struggle with students who have behavioral/mental disabilities. I think another class would have made me better in the classroom.,2022,39857,Training on students with disabilities,Negative,0.82
12,Special education practicum and learning,2022,39869,Handling severe behavior,Positive,0.75
13,Behavioral Management,2022,39898,Handling severe behavior,Negative,0.5
14,Organization. The most important area all teachers need to understand and do well is organize everything from lesson plans to the supplies in their classroom. It is a key that I have found eases a lot of stress.,2022,39916,Classroom management skills,Positive,0.63
15,"Lesson planning adaptation, and behavior response.",2022,39917,Planning,Positive,0.9
16,"Classroom management, paperwork, and other needs of being a teacher more than just teaching.",2022,39946,Classroom management skills,Negative,0.83
17,how to work with state officials about students,2022,39969,Classroom management skills,Negative,0.68
18,"I feel my institution did a fantastic job preparing me to be a teacher, but if there was something I wish I knew more about before becoming a teacher, it would be curriculum mapping for a longer period of time.",2022,39989,Planning,Positive,0.89
19,"Behaviors, & Parent Relationships",2022,39990,Parent Relationships,Negative,0.5
20,Classroom management,2022,40003,Classroom management skills,Positive,0.83
21,Classroom management strategies,2022,40039,Classroom management skills,Positive,0.83
